filename,county,source,relevant_date,date_of_production,upload_date,document_url,download_url,download_success
2021_Calaveras County_Defense Attorney Report.pdf,Calaveras County,Office of the Calaveras District Attorney,01/01/2021,03/24/2023,04/03/2025,https://www.aclunc.org/2021-calaveras-county-defense-attorney-reportpdf,https://drive.google.com/open?id=1wylbkVPJ0Qaur9jp4Tn5d2MXrOLWBYVZ,True
2020.09.08_Los Angeles County_Parole Periods and Prison Closures (with CDCR Demographics Data).pdf,Los Angeles County,Office of the Los Angeles District Attorney,09/08/2020,,04/03/2025,https://www.aclunc.org/20200908-los-angeles-county-parole-periods-and-prison-closures-cdcr-demographics-datapdf,https://drive.google.com/open?id=1H4BxY4KRj-YIETaFTf8Kuk8hm4_RFBJ0,True
Santa Barbara County_Race Codes.xlsx,Santa Barbara County,Office of the Santa Barbara County District Attorney,10/18/2021,,04/04/2025,https://www.aclunc.org/santa-barbara-county-race-codesxlsx,https://drive.google.com/open?id=14EDmh_irIB5asKSsGBy5S08s5WiDp2h9,True
2017.03.28_Siskiyou County_SCDA Parole Hearing recommendations.pdf,Siskiyou County,Office of the Siskiyou County District Attorney,03/28/2017,,04/04/2025,https://www.aclunc.org/20170328-siskiyou-county-scda-parole-hearing-recommendationspdf,https://drive.google.com/open?id=1UWWwas0qtfX1_IIGIaC01FqSYa40w1nh,True
2015.01.12_Alameda County_NEW LAWS FOR 2015.pdf,Alameda County,Office of the Alameda District Attorney,01/12/2015,11/03/2022,04/03/2025,https://www.aclunc.org/20150112-alameda-county-new-laws-2015pdf,https://drive.google.com/open?id=1DHvj0i574d5usk3XW--8mh4pe47_r5ZH,True
2015.01.12_Alameda County_New Laws.mp4,Alameda County,Office of the Alameda District Attorney,01/12/2015,,04/03/2025,https://www.aclunc.org/20150112-alameda-county-new-lawsmp4,https://drive.google.com/open?id=1Cw9uw5ecp2Lz36aWkE7GuLeXpGzYOpI9,True
2015.01.19_Alameda County_Law Competency.mp4,Alameda County,Office of the Alameda District Attorney,01/19/2015,,04/03/2025,https://www.aclunc.org/20150119-alameda-county-law-competencymp4,https://drive.google.com/open?id=1wUqDPg9f5VvFxswSRidcdVKm9Fh8XYMO,True
2015.01.20_Alameda County_2015 Laws Competency.pdf,Alameda County,Office of the Alameda District Attorney,01/20/2015,11/03/2022,04/03/2025,https://www.aclunc.org/20150120-alameda-county-2015-laws-competencypdf,https://drive.google.com/open?id=13_x77E5cUR-g3RM4-seCp2ln94HNkzds,True
2015.02.16_Alameda County_VEHICULAR MANSLAUGHTER_GBI.pdf,Alameda County,Office of the Alameda District Attorney,02/16/2015,11/03/2022,04/03/2025,https://www.aclunc.org/20150216-alameda-county-vehicular-manslaughter-gbipdf,https://drive.google.com/open?id=1f_dBA4NcifhocQwPNtmBap7uSi2cFiHa,True
2015.03.02_Alameda County_GUN BATTLES II.pdf,Alameda County,Office of the Alameda District Attorney,03/02/2015,11/03/2022,04/03/2025,https://www.aclunc.org/20150302-alameda-county-gun-battles-iipdf,https://drive.google.com/open?id=1402OEylMW_tOurI6kFN-8TmsStlXNcqa,True
2015.03.02_Alameda County_Gun Battles.mp4,Alameda County,Office of the Alameda District Attorney,03/02/2015,,04/03/2025,https://www.aclunc.org/20150302-alameda-county-gun-battlesmp4,https://drive.google.com/open?id=1WAwO4Z0ZYlmIW7ef1LsKQTtzUPi0KAHa,True
2015.03.16_Alameda County_GBI and Vehicular Manslaughter.mp4,Alameda County,Office of the Alameda District Attorney,03/16/2015,,04/03/2025,https://www.aclunc.org/20150316-alameda-county-gbi-and-vehicular-manslaughtermp4,https://drive.google.com/open?id=1vlpx4NX-9gS5DPjps43N3NHtU7XdI06b,True
2015.06.01_Alameda County_290 Crimes against Minors.mp4,Alameda County,Office of the Alameda District Attorney,06/01/2015,,04/03/2025,https://www.aclunc.org/20150601-alameda-county-290-crimes-against-minorsmp4,https://drive.google.com/open?id=1clkrhHzz0ZWFjJTqotl1Z8Pug8D-gPxp,True
2015.06.01_Alameda County_290 REG CRIMES AGAINST MINORS.pdf,Alameda County,Office of the Alameda District Attorney,06/01/2015,11/03/2022,04/03/2025,https://www.aclunc.org/20150601-alameda-county-290-reg-crimes-against-minorspdf,https://drive.google.com/open?id=1-oG-jBlIVSpJ2OM1BKvmPXrbbtGlhw9L,True
2015.06.29_Alameda County_(SCOTT- WHEELER BATSON PART I).pdf,Alameda County,Office of the Alameda District Attorney,06/29/2015,11/03/2022,04/03/2025,https://www.aclunc.org/20150629-alameda-county-scott-wheeler-batson-part-ipdf,https://drive.google.com/open?id=1lSTBoKWQKQGO85SaYPzyPHPiHsldhFlH,True
2015.06.29_Alameda County_Elimination of Bias.mp4,Alameda County,Office of the Alameda District Attorney,06/29/2015,,04/03/2025,https://www.aclunc.org/20150629-alameda-county-elimination-biasmp4,https://drive.google.com/open?id=1kFkLL1AOEqJSvqMvIbwLGxB76FOZ5vYg,True
