filename,county,relevant_date,date,year,document_type_clean,primary_topic_clean,secondary_topics_clean,ideology,is_progressive,is_traditional,ideology_score,ideological_orientation_clean,confidence_level_clean,progressive_indicators_clean,traditional_indicators_clean,extensive_margin_impact_clean,extensive_margin_direction_clean,extensive_lenient,extensive_punitive,intensive_margin_impact_clean,intensive_margin_direction_clean,intensive_lenient,intensive_punitive,supports_diversion_clean,supports_alternatives_clean,position_on_enhancements_clean,position_on_three_strikes_clean,position_on_bail_clean,position_on_juvenile_transfer_clean,racial_justice_emphasis_clean,da_administration_clean,office_wide_policy_clean,policy_change_clean,mandates_vs_guidance_clean,summary,key_quotes
2021_Calaveras County_Defense Attorney Report.pdf,Calaveras County,01/01/2021,2021-01-01,2021.0,other,administrative,['case_management'],unclear,0,0,,unclear,high,[],[],not_applicable,not_applicable,0,0,not_applicable,not_applicable,0,0,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_mentioned,no,unclear,informational,"This document is a Defense Attorney Report from Calaveras County dated October 1, 2021, covering cases from February 22 to September 7, 2021. It is purely administrative, listing defense attorney assignments to specific cases with file numbers, cause numbers, and issue dates. The document contains no prosecutorial policy content, ideological positions, or guidance that would inform analysis of prosecutorial orientation or criminal justice policy positions.","['This document contains only administrative data with case numbers, attorney names, and dates - no policy content to quote.']"
2020.09.08_Los Angeles County_Parole Periods and Prison Closures (with CDCR Demographics Data).pdf,Los Angeles County,09/08/2020,2020-09-08,2020.0,policy_memo,sentencing,"['enhancements', 'juvenile', 'racial_justice', 'case_law_update']",clearly_progressive,1,0,2.0,clearly_progressive,high,"['Comprehensive resentencing for 20,000-30,000 cases', 'Elimination of sentence enhancements', 'Support for early parole release', ""Explicit racial justice focus - '93% of people sent to prison from Los Angeles County are Black people and people of color'"", ""Use of humanizing language - avoiding 'dehumanizing language such as inmate, prisoner, criminal'"", 'Opposition to juvenile transfer to adult court', 'Restorative justice emphasis', 'Critique of mass incarceration as racist system']","['Maintains victim notification requirements', ""Allows opposition in cases with 'compelling and imminent public safety concerns'""]",low_impact,neutral,0,0,high_impact,more_lenient,1,0,not_addressed,yes,minimize,reform_oriented,not_addressed,opposes_transfer,high,George Gascón,yes,clearly_new_policy,mandatory,"This document contains two memos: an informational memo about state law changes to parole periods, and a comprehensive policy directive from DA George Gascón mandating dramatic reforms to resentencing practices. The Gascón memo establishes a clearly progressive agenda, calling for resentencing review of 20,000-30,000 cases, elimination of sentence enhancements, support for early parole, and explicit focus on addressing racial disparities in the criminal justice system. The directive represents a fundamental shift from traditional prosecutorial approaches, framing mass incarceration as a racist system requiring comprehensive reform.","[{'quote': 'Justice demands that the thousands of people currently serving prison terms imposed in Los Angeles County under earlier, outdated policies, are also entitled to the benefit of these new policies.', 'margin_type': 'intensive', 'significance': 'Establishes rationale for comprehensive resentencing'}, {'quote': 'Almost 93% of people sent to prison from Los Angeles County are Black people and people of color... We can no longer deny that our system of hyper-criminalization and incarceration is anything other than racist.', 'margin_type': 'intensive', 'significance': 'Explicit racial justice framing of criminal justice system'}, {'quote': 'The sentences we impose in this country, in this state, and in Los Angeles County are far too long... sentences that are longer than those of any comparable nation.', 'margin_type': 'intensive', 'significance': 'Fundamental critique of current sentencing practices'}]"
2017.03.28_Siskiyou County_SCDA Parole Hearing recommendations.pdf,Siskiyou County,03/28/2017,2017-03-28,2017.0,case_guidance,sentencing,"['parole_opposition', 'victim_services', 'public_safety']",clearly_traditional,0,1,-2.0,clearly_traditional,high,[],"['consistent opposition to parole releases', 'emphasis on public safety over rehabilitation', ""tough-on-crime rhetoric about 'unreasonable risk of danger'"", 'victim-centered focus', 'skepticism of inmate rehabilitation claims', 'emphasis on severity of original crimes', 'calls for maximum incarceration periods']",not_applicable,not_applicable,0,0,high_impact,more_punitive,0,1,not_addressed,no,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,J. Kirk Andrus,yes,continuation,strong_guidance,"These documents consist of multiple letters from the Siskiyou County District Attorney's office to parole boards opposing the release of various life inmates. The DA's office consistently argues that inmates pose unreasonable risks to public safety, questions the authenticity of their rehabilitation efforts, and emphasizes the severity of their original crimes. The approach reflects a traditional prosecutorial philosophy prioritizing public safety and punishment over rehabilitation, with systematic opposition to parole releases regardless of individual circumstances or institutional progress.","[{'quote': 'The Siskiyou County Office of District Attorney opposes the grant of parole to inmate William Broderick on the ground that he continues to pose an unreasonable risk of danger to society.', 'margin_type': 'intensive', 'significance': 'Demonstrates consistent opposition to parole based on public safety concerns'}, {'quote': 'He has become institutionalized, not transformed. All that has changed is that time has gone by, and the inmate has learned to conform some of his answers to the criticisms made by the commissioners at his last hearing.', 'margin_type': 'intensive', 'significance': 'Shows skepticism toward rehabilitation and inmate change'}, {'quote': ""If we are to believe that he has made the massive transformation that he must to earn a place outside the prison's walls, his achievements during the time of incarceration must be equally massive. They have not."", 'margin_type': 'intensive', 'significance': 'Sets extremely high bar for demonstrating rehabilitation and earning release'}]"
2015.01.12_Alameda County_NEW LAWS FOR 2015.pdf,Alameda County,01/12/2015,2015-01-12,2015.0,training_material,case_law_update,"['sentencing', 'enhancements', 'victim_services', 'charging_decisions']",leans_progressive,1,0,1.0,leans_progressive,medium,"['Supportive framing of immigration-friendly sentencing reductions', 'Positive presentation of crack/powder cocaine sentencing equalization', 'Elimination of discriminatory panic defense', 'Removal of mandatory minimum jail time for drug possession', 'Expanded protections for vulnerable victims and witnesses']","['Detailed technical focus on maintaining prosecutorial tools', 'Emphasis on expanded revenge porn prosecutions', 'Focus on protective orders and victim services', 'Neutral presentation without advocating for further reforms']",moderate_impact,more_lenient,1,0,high_impact,more_lenient,1,0,not_addressed,unclear,not_addressed,not_addressed,not_addressed,not_addressed,moderate,not_mentioned,yes,clearly_new_policy,informational,"This training document provides technical guidance on twelve new criminal laws effective in 2015, covering sentencing reforms, victim protections, and procedural changes. The document presents reform-oriented legislation in a neutral-to-positive manner, focusing on practical implementation rather than resistance. Key changes include immigration-friendly sentence reductions, elimination of crack/powder cocaine sentencing disparities, removal of mandatory minimums for drug possession, and expanded protections for vulnerable victims, suggesting an office that adapts pragmatically to progressive legislative reforms.","[{'quote': ""According to the bill's author, this bill was needed because, for immigration purposes, the federal government defines a misdemeanor as a crime punishable for 364 days or less. Thus, noncitizens could suffer immigration consequences attendant to a 'felony' conviction under certain circumstances."", 'margin_type': 'intensive_margin', 'significance': 'Shows supportive framing of reform designed to reduce immigration consequences'}, {'quote': 'AB 2492 eliminated all the language requiring service of 90 days in county jail, either as a complete term or condition of probation.', 'margin_type': 'intensive_margin', 'significance': 'Neutral presentation of elimination of mandatory minimum sentences'}, {'quote': ""AB 2501 amended section 192 to eliminate the possibility that a defendant's 'discovery of, knowledge about, or potential disclosure of the victim's actual or perceived gender, gender identity, gender expression, or sexual orientation' could be viewed as sufficient provocation to reduce a murder charge to voluntary manslaughter."", 'margin_type': 'intensive_margin', 'significance': 'Supportive presentation of law eliminating discriminatory panic defense'}]"
2015.01.20_Alameda County_2015 Laws Competency.pdf,Alameda County,01/20/2015,2015-01-20,2015.0,training_material,case_law_update,"['juvenile', 'mental_health', 'human_trafficking']",leans_progressive,1,0,1.0,leans_progressive,medium,"['Automatic sealing of juvenile records for non-707(b) offenses', 'Relief provisions for human trafficking victims convicted of prostitution', 'Emphasis on mental health treatment over punishment for incompetent defendants', 'Restrictions on detaining minors in secure facilities for truancy violations', 'Expanded diversion and treatment options']","['Increased penalties for soliciting minors (minimum 2 days jail)', 'Expanded wiretap authority for human trafficking cases', 'Continued prosecution focus and procedural guidance']",moderate_impact,more_lenient,1,0,moderate_impact,mixed,0,0,yes,yes,selective,not_addressed,not_addressed,not_addressed,not_addressed,Alameda County District Attorney's Office,unclear,informational,informational,"This document is a training material from the Alameda County DA's Office covering 2015 legislative changes in mental competency, juvenile proceedings, and human trafficking laws. The content reflects a moderately progressive approach, emphasizing treatment over punishment for mentally incompetent defendants, automatic juvenile record sealing for non-serious offenses, and relief mechanisms for human trafficking victims. While maintaining traditional enforcement tools like enhanced penalties for crimes against minors, the overall emphasis is on rehabilitation, treatment, and reducing long-term consequences for certain vulnerable populations.","[{'quote': ""This legislation was sponsored by the Alameda County District Attorney's Office"", 'margin_type': 'extensive_margin', 'relevance': 'Shows office initiative in human trafficking prosecution tools'}, {'quote': 'If the defendant can establish by clear and convincing evidence that that conviction was the result of his or her status as a victim of human trafficking, the court may issue an order that... provides for dismissal and relief from other penalties', 'margin_type': 'extensive_margin', 'relevance': 'Demonstrates support for relief mechanisms for trafficking victims'}, {'quote': 'It requires the court to order a petition dismissed and to seal all records in the custody of the juvenile court pertaining to the dismissed petition if a minor... completes probation under W&I 725... for any offense not listed in W&I 707(b)', 'margin_type': 'extensive_margin', 'relevance': 'Shows support for automatic juvenile record sealing for non-serious offenses'}]"
2015.02.16_Alameda County_VEHICULAR MANSLAUGHTER_GBI.pdf,Alameda County,02/16/2015,2015-02-16,2015.0,training_material,case_law_update,"['enhancements', 'juvenile', 'sentencing']",neutral,0,0,0.0,neutral,high,"['Detailed explanation of enhanced protections for juvenile defendants', 'Emphasis on proper Miranda procedures for minors', 'Recognition that juvenile age must be considered in legal analysis']","['Neutral presentation of Supreme Court ruling limiting prosecutor tools', 'Focus on proper legal procedures rather than policy advocacy', 'Educational format without ideological commentary']",low_impact,neutral,0,0,high_impact,more_lenient,1,0,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_mentioned,yes,informational,informational,"This is a legal training document from the Alameda County DA's office explaining two significant court decisions: People v. Cook, which eliminates great bodily injury enhancements for vehicular manslaughter convictions, and In re Art T., which strengthens Miranda protections for juvenile defendants. The document serves as neutral legal education for prosecutors, explaining how these rulings limit certain prosecutorial tools while requiring enhanced procedural protections for minors. The presentation is objective and focused on legal compliance rather than advocating for any particular prosecutorial philosophy.","[{'quote': 'Subdivision (g) means what it says—great bodily injury enhancements simply do not apply to murder or manslaughter.', 'margin_type': 'intensive_margin', 'significance': 'Establishes mandatory reduction in available sentence enhancements'}, {'quote': ""We find that, as in the custody context addressed in J.D.B., a court should consider a juvenile's age for purposes of analyzing whether the juvenile has unambiguously invoked his or her right to counsel."", 'margin_type': 'extensive_margin', 'significance': 'Provides enhanced protections for juvenile defendants during interrogation'}, {'quote': ""the Legislature's purpose is not to maximize the punishment under any pleading artifice imaginable, but to impose the punishments it established by statute."", 'margin_type': 'intensive_margin', 'significance': 'Supreme Court rejection of maximizing punishment through creative legal interpretations'}]"
2015.03.02_Alameda County_GUN BATTLES II.pdf,Alameda County,03/02/2015,2015-03-02,2015.0,training_material,enhancements,"['charging_decisions', 'case_law_update']",clearly_traditional,0,1,-2.0,clearly_traditional,high,[],"['Enhancement maximization strategies', 'Aggressive charging of all gun battle participants', 'Focus on ensuring maximum penalties cannot be reduced', ""Emphasis on holding all participants 'equally responsible'"", 'Detailed instruction on applying harshest available enhancements']",moderate_impact,more_punitive,0,1,high_impact,more_punitive,0,1,not_addressed,not_addressed,maximize,not_addressed,not_addressed,not_addressed,not_addressed,not_mentioned,yes,unclear,strong_guidance,"This training document instructs Alameda County prosecutors on maximizing criminal liability and enhancements in gun violence cases. It teaches strategies for charging all participants in gun battles with homicide regardless of who fired the fatal shot, and extensively details how to apply the most severe firearm enhancements available under California law. The document represents a traditional tough-on-crime prosecutorial approach focused on ensuring maximum punishment with no discussion of alternatives or mitigation.","[{'quote': 'Because all participants in these gun battles bear some level of responsibility, this P&A series reviews the different theories and principles of homicide that allow assignment of liability to all involved in a manner both legally sound and morally just.', 'margin_type': 'extensive_margin', 'significance': 'Shows aggressive charging philosophy to include all participants'}, {'quote': 'With gun battle cases, prosecutors will want to charge Penal Code section 12022.5 [little use] or section 12022.53 [big use]. Also gun battle cases will usually have death or serious bodily injury, requiring the charging of GBI or serious bodily injury enhancements.', 'margin_type': 'intensive_margin', 'significance': 'Demonstrates enhancement maximization strategy'}, {'quote': ""The court may not strike or dismiss a finding of use. (§ 12022.53(h).) Simple use of a firearm adds ten years to the defendant's sentence. Intentional discharge causing great bodily injury adds 25 years to life."", 'margin_type': 'intensive_margin', 'significance': 'Emphasizes the harshest available penalties that cannot be reduced'}]"
2015.06.01_Alameda County_290 REG CRIMES AGAINST MINORS.pdf,Alameda County,06/01/2015,2015-06-01,2015.0,training_material,case_law_update,"['enhancements', 'juvenile', 'sentencing']",leans_traditional,0,1,-1.0,leans_traditional,medium,['mentions risk-based classification system under consideration'],"['favorable presentation of expanded sex offender registration', 'emphasis on community safety through registration', 'detailed analysis supporting punitive registration requirements', 'focus on enforcement of existing enhancement statutes']",low_impact,neutral,0,0,moderate_impact,more_punitive,0,1,not_addressed,not_addressed,selective,not_addressed,not_addressed,not_addressed,not_addressed,Nancy O'Malley,yes,continuation,informational,"This training document provides legal updates on three California Supreme Court cases affecting sex offender registration, juvenile competency, and prior conviction procedures. The primary focus is on the Johnson decision, which the office presents favorably as it expands mandatory sex offender registration requirements by overturning previous precedent. While the document mentions potential future reforms toward risk-based classification systems, the current emphasis remains on proper enforcement of existing punitive registration and enhancement statutes, reflecting a traditional prosecutorial approach to public safety.","[{'quote': 'Among issues currently being examined is a registration structure that would enable law enforcement to identify and concentrate resources on the most dangerous offenders. Thus, those with the highest risk of re-offending would remain subject to a lifetime sex offender registration, consistent with the goal of ensuring community safety.', 'margin_type': 'intensive_margin', 'relevance': 'Shows consideration of reform but maintains punitive framework'}, {'quote': 'The Johnson court concluded that in light of the legitimate purposes of sex offender registration, and the plausible and actual legislative concerns it discussed above, it cannot be said that the differentiated treatment of section 261.5 and section 288a offenders lacks such rationality', 'margin_type': 'intensive_margin', 'relevance': 'Demonstrates support for maintaining punitive registration requirements'}, {'quote': ""If the trial judge fails to give the Boykin-Tahl advisement, remind the judge to do it. If the trial judge gives an incomplete Boykin-Tahl advisement, tell the judge. Act to avoid the problem in the first place, because the trial judge's error, if reversible on appeal, is ultimately the prosecutor's problem."", 'margin_type': 'intensive_margin', 'relevance': 'Shows focus on ensuring proper implementation of enhancement procedures'}]"
2015.06.29_Alameda County_(SCOTT- WHEELER BATSON PART I).pdf,Alameda County,06/29/2015,2015-06-29,2015.0,training_material,case_law_update,"['racial_justice', 'death_penalty']",neutral,0,0,0.0,neutral,high,"['racial_justice', 'anti_discrimination_focus', 'constitutional_compliance']","['death_penalty_prosecution', 'detailed_procedural_guidance_for_prosecutors']",low_impact,neutral,0,0,moderate_impact,neutral,0,0,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,moderate,not_mentioned,yes,continuation,strong_guidance,"This document is a prosecutor training material from Alameda County DA's office providing detailed legal guidance on Batson/Wheeler jury selection procedures following recent California and U.S. Supreme Court decisions. The training focuses on constitutional compliance to avoid discrimination in jury selection while maintaining effective death penalty prosecutions. The document represents neutral, technical legal education rather than ideological policy guidance, emphasizing procedural correctness over prosecutorial philosophy.","[{'quote': 'The Batson/Wheeler framework is designed to enforce the constitutional prohibition on exclusion of persons from jury service on account of their membership in a cognizable group.', 'margin_type': 'intensive', 'relevance': 'Shows focus on constitutional compliance and anti-discrimination'}, {'quote': ""NEXT WEEK: We continue with Part II in our discussion of the California Supreme Court's decision in People v. Scott with advice on what to do generally when you are the subject of a Batson/Wheeler motion"", 'margin_type': 'intensive', 'relevance': 'Indicates prosecutor-focused training on defending against discrimination challenges'}, {'quote': 'In a capital case, it is not surprising for prospective jurors to express varying degrees of hesitancy about voting for a death verdict... both the prosecution and the defense may be required to make fine judgment calls about which jurors are more or less willing to vote for the ultimate punishment.', 'margin_type': 'intensive', 'relevance': 'Demonstrates continued engagement with death penalty prosecution'}]"
2015.07.06_Alameda County_SCOTT- WHEELER BATSON PART II_Redacted.pdf,Alameda County,07/06/2015,2015-07-06,2015.0,training_material,case_law_update,"['racial_justice', 'administrative']",neutral,0,0,0.0,neutral,high,"['elimination of bias training', 'emphasis on fair jury selection', 'acknowledgment of discrimination concerns']","['prosecutor-focused training', 'emphasis on conviction integrity', 'detailed guidance on defending prosecutorial strikes']",low_impact,neutral,0,0,moderate_impact,neutral,0,0,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,not_addressed,moderate,not_mentioned,yes,continuation,strong_guidance,"This document is a prosecutorial training material focused on proper compliance with Batson/Wheeler jury selection procedures following a California Supreme Court decision in People v. Scott. It provides detailed guidance to prosecutors on how to handle challenges to peremptory strikes while maintaining the ability to effectively select juries. The document emphasizes legal compliance, thorough record-making, and professional conduct rather than advocating for particular ideological positions on criminal justice policy.","[{'quote': 'As a prosecutor, take charge of the proceedings surrounding the motion. Know the law that governs Batson/Wheeler.', 'margin_type': 'intensive', 'relevance': 'Shows prosecutor-focused approach to managing bias challenges'}, {'quote': ""We have the opportunity to show the system is fair. So without apology, I'll explain my reasons."", 'margin_type': 'intensive', 'relevance': 'Emphasizes fairness while maintaining prosecutorial authority'}, {'quote': ""There's much at stake ultimately if the appellate court finds a Batson/Wheeler violation, including the integrity of the conviction, and -- for the prosecutor personally -- reputation and status in the state bar."", 'margin_type': 'intensive', 'relevance': 'Highlights both systemic and personal stakes in proper compliance'}]"
