county,year,n_documents,n_progressive,n_traditional,pct_progressive,pct_traditional,mean_ideology_score,pct_extensive_lenient,pct_extensive_punitive,pct_intensive_lenient,pct_intensive_punitive,pct_supports_diversion,pct_bail_reform,pct_racial_justice,da_name,election_year,margin_1st_2nd,close_5pp,close_10pp,close_15pp,winner_pct,n_candidates,tenure_start,years_into_tenure
Alameda,2025.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,Pamela Price,2022.0,6.300000000000004,False,True,True,53.2,2.0,2023.0,3.0
Los Angeles,2021.0,43.0,26.0,0.0,60.46511627906976,0.0,1.0833333333333333,41.86046511627907,0.0,41.86046511627907,2.3255813953488373,9.30232558139535,6.976744186046512,13.953488372093023,George GascÃ³n,2020.0,0.030000000000001137,True,True,True,53.53,3.0,2021.0,1.0
Los Angeles,2022.0,17.0,7.0,1.0,41.17647058823529,5.88235294117647,0.9230769230769231,35.294117647058826,0.0,29.411764705882355,11.76470588235294,5.88235294117647,5.88235294117647,5.88235294117647,George GascÃ³n,2020.0,0.030000000000001137,True,True,True,53.53,3.0,2021.0,2.0
Los Angeles,2025.0,8.0,5.0,2.0,62.5,25.0,0.5714285714285714,12.5,0.0,62.5,25.0,12.5,0.0,0.0,Nathan Hochman,2024.0,19.799999999999997,False,False,False,59.9,2.0,2025.0,1.0
Madera,2016.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Linn,2014.0,17.6,False,False,False,58.6,2.0,2015.0,2.0
Madera,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Linn,2014.0,17.6,False,False,False,58.6,2.0,2015.0,3.0
Madera,2018.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Linn,2014.0,17.6,False,False,False,58.6,2.0,2015.0,4.0
Madera,2019.0,2.0,2.0,0.0,100.0,0.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,Sally Moreno,2018.0,12.36,False,False,True,50.76,2.0,2019.0,1.0
Madera,2020.0,3.0,2.0,0.0,66.66666666666666,0.0,1.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,Sally Moreno,2018.0,12.36,False,False,True,50.76,2.0,2019.0,2.0
Madera,2021.0,4.0,2.0,0.0,50.0,0.0,1.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,Sally Moreno,2018.0,12.36,False,False,True,50.76,2.0,2019.0,3.0
Marin,2019.0,3.0,2.0,0.0,66.66666666666666,0.0,0.6666666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,Lori Frugoli,2018.0,0.3400000000000034,True,True,True,50.07,2.0,2019.0,1.0
Marin,2020.0,4.0,1.0,1.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,Lori Frugoli,2018.0,0.3400000000000034,True,True,True,50.07,2.0,2019.0,2.0
