county,year,disruption_score,disruption_classification,direction,ideology_velocity,novelty_index,topic_shift_score,margin_reversal_score,da_transition_signal,extensive_reversal,intensive_reversal,n_documents,n_new_policies,mean_ideology_score,prior_mean_ideology,election_year,winner_name,margin_1st_2nd,close_5pp,close_10pp,close_15pp,challenger_won
Los Angeles County,2012,0.1888542418454116,minor_disruption,progressive,0.3333333333333333,0.0,0.5641427850140873,0.3333333333333333,0,False,False,3,0,0.3333333333333333,0.0,,,,,,,
Los Angeles County,2015,0.43792505447930896,moderate_disruption,traditional,-0.9736842105263157,0.2608695652173913,0.5289984239076853,0.8043478260869565,1,False,True,23,6,-0.47368421052631576,0.5,,,,,,,
Los Angeles County,2016,0.5442444569193301,significant_disruption,progressive,0.9454545454545454,0.6363636363636364,0.5039562893164,1.1590909090909092,1,True,True,11,7,0.5454545454545454,-0.4,,,,,,,
Los Angeles County,2017,0.23365184657524157,minor_disruption,progressive,0.4703703703703703,0.28125,0.3812951381227578,0.4117647058823529,0,False,True,32,9,0.37037037037037035,-0.1,,,,,,,
Los Angeles County,2018,0.3257295382908133,moderate_disruption,traditional,-0.48355263157894735,0.33962264150943394,0.347006081507179,0.15182097411145243,1,False,False,53,18,-0.0625,0.42105263157894735,,,,,,,
Los Angeles County,2019,0.2742257025318352,moderate_disruption,neutral,0.04392156862745099,0.24615384615384617,0.3985942513482228,0.2090497737556561,1,False,False,65,16,0.13725490196078433,0.09333333333333334,,,,,,,
Los Angeles County,2020,0.33271845802912114,moderate_disruption,progressive,0.7095959595959596,0.36,0.23563926182074202,0.25254237288135595,1,False,False,100,36,0.75,0.04040404040404041,,,,,,,
Los Angeles County,2021,0.32789285165085835,moderate_disruption,progressive,0.5648148148148148,0.3488372093023256,0.2637735251488709,0.34728682170542635,1,False,False,43,15,1.0833333333333333,0.5185185185185185,2020.0,George GascÃ³n,0.0300000000000011,True,True,True,True
Los Angeles County,2022,0.2828354243697161,moderate_disruption,neutral,0.07307692307692315,0.35294117647058826,0.32803527755008616,0.14150555327025918,1,False,False,17,6,0.9230769230769231,0.85,2020.0,George GascÃ³n,0.0300000000000011,True,True,True,True
Los Angeles County,2025,0.1,minor_disruption,neutral,0.0,0.0,0.0,0.0,1,False,False,8,0,0.5714285714285714,,2024.0,Nathan Hochman,19.8,False,False,False,True
Alameda County,2015,0.12777777777777777,minor_disruption,neutral,0.0,0.1111111111111111,0.0,0.0,1,False,False,9,1,-0.2222222222222222,,,,,,,,
Alameda County,2016,0.21272750103901142,minor_disruption,traditional,-0.9027777777777778,0.0,0.3848472160273756,0.5,0,False,False,10,0,-1.125,-0.2222222222222222,,,,,,,
Alameda County,2017,0.13144202825328838,minor_disruption,neutral,0.0756302521008404,0.0,0.4386845229202427,0.3082706766917293,0,False,False,7,0,-0.5714285714285714,-0.6470588235294118,,,,,,,
Alameda County,2018,0.466947732621095,moderate_disruption,progressive,0.8666666666666667,0.3,0.5224961204387196,1.3294117647058825,1,True,True,10,3,0.0,-0.8666666666666667,,,,,,,
Alameda County,2019,0.17681293919325863,minor_disruption,progressive,0.23529411764705882,0.0,0.44708671417807355,0.7647058823529411,0,False,False,6,0,0.0,-0.23529411764705882,,,,,,,
Alameda County,2020,0.29835180708297304,moderate_disruption,progressive,0.6,0.16666666666666666,0.3504436333307514,0.20833333333333337,1,False,False,6,1,0.6,0.0,,,,,,,
Alameda County,2021,0.18981747861241877,minor_disruption,progressive,0.12727272727272732,0.2,0.42914113028203793,0.39999999999999997,0,False,False,5,1,0.4,0.2727272727272727,,,,,,,
Amador County,2022,0.08333333333333333,stable,neutral,0.0,0.3333333333333333,0.0,0.0,0,False,False,3,1,1.0,,,,,,,,
Contra Costa County,2016,0.3637608743225531,moderate_disruption,traditional,-0.8333333333333333,0.0,0.5429402519806726,0.8333333333333333,1,False,False,3,0,-0.3333333333333333,0.5,,,,,,,
Contra Costa County,2019,0.22131492417429724,minor_disruption,neutral,0.0,0.4,0.5050064963323445,0.0,0,False,False,5,2,0.0,0.0,,,,,,,
Contra Costa County,2020,0.5299299639636702,significant_disruption,progressive,0.4444444444444444,0.55,0.7200994578632652,1.25,1,False,False,20,11,0.4444444444444444,0.0,,,,,,,
Contra Costa County,2021,0.26572427852183567,moderate_disruption,neutral,0.06666666666666665,0.2978723404255319,0.2245867213218826,0.5106382978723405,1,False,False,47,14,0.4666666666666667,0.4,,,,,,,
Contra Costa County,2025,0.15000000000000002,minor_disruption,neutral,0.0,0.2,0.0,0.0,1,False,False,5,1,0.3333333333333333,,,,,,,,
Fresno County,2021,0.17238397639590067,minor_disruption,traditional,-0.5,0.0,0.4178757111101022,0.36666666666666664,0,False,False,15,0,-0.5,0.0,,,,,,,
Inyo County,2021,0.5731613901984179,significant_disruption,traditional,-1.75,0.0,0.6167622414562324,2.5,1,False,True,4,0,-0.75,1.0,,,,,,,
Madera County,2020,0.3704186259220448,moderate_disruption,neutral,0.0,0.3333333333333333,0.6122826913325501,0.6666666666666666,1,False,False,3,1,1.0,1.0,2018.0,Sally Moreno,12.36,False,False,True,False
Madera County,2021,0.21956931094954424,minor_disruption,neutral,0.0,0.25,0.4790074259496445,0.7,0,False,False,4,1,1.0,1.0,2018.0,Sally Moreno,12.36,False,False,True,False
Marin County,2003,0.1,minor_disruption,neutral,0.0,0.0,0.0,0.0,1,False,False,3,0,-0.3333333333333333,,,,,,,,
Marin County,2016,0.33376087432255314,moderate_disruption,traditional,-0.5,0.3333333333333333,0.5429402519806726,1.1666666666666665,0,False,True,3,1,0.0,0.5,,,,,,,
Marin County,2017,0.22535489245948506,minor_disruption,progressive,0.4666666666666666,0.3333333333333333,0.28038313079218863,0.4666666666666666,0,False,False,3,1,0.6666666666666666,0.2,,,,,,,
Marin County,2019,0.11110845165433463,minor_disruption,neutral,0.0,0.0,0.3792638067358942,0.3333333333333333,0,False,False,3,0,0.6666666666666666,0.6666666666666666,2018.0,Lori Frugoli,0.3400000000000034,True,True,True,False
Marin County,2020,0.41800289372099564,moderate_disruption,traditional,-0.6666666666666666,0.25,0.7028268950337726,0.3333333333333333,1,False,False,4,1,0.0,0.6666666666666666,2018.0,Lori Frugoli,0.3400000000000034,True,True,True,False
Marin County,2021,0.43054808927237587,moderate_disruption,progressive,0.4642857142857143,0.4444444444444444,0.6052229051761064,0.46031746031746035,1,False,False,9,4,0.75,0.2857142857142857,2018.0,Lori Frugoli,0.3400000000000034,True,True,True,False
Marin County,2022,0.4999501441326785,moderate_disruption,progressive,1.5,0.6666666666666666,0.5388182018066122,0.8974358974358974,0,False,False,3,2,2.0,0.5,2018.0,Lori Frugoli,0.3400000000000034,True,True,True,False
Marin County,2025,0.2875,moderate_disruption,neutral,0.0,0.75,0.0,0.0,1,False,False,4,3,1.25,,,,,,,,
Merced County,2019,0.32782775541206927,moderate_disruption,progressive,0.8,0.2,0.5237923885664448,1.2,0,True,False,5,1,-0.2,-1.0,,,,,,,
Merced County,2020,0.2017108441836251,minor_disruption,neutral,-0.07142857142857145,0.3333333333333333,0.3738423386047974,0.3571428571428571,0,False,False,6,2,-0.5,-0.42857142857142855,,,,,,,
Merced County,2021,0.36608919952932734,moderate_disruption,progressive,0.6136363636363636,0.5,0.5608319428445269,0.75,0,False,True,4,2,0.25,-0.36363636363636365,,,,,,,
Merced County,2023,0.2898854379154022,moderate_disruption,traditional,-0.25,0.2,0.7446594791317045,0.6000000000000001,0,False,False,5,1,0.0,0.25,,,,,,,
Merced County,2025,0.327506523193432,moderate_disruption,traditional,-0.5,0.5,0.5099668526098764,0.5,0,False,False,4,2,-0.5,0.0,,,,,,,
Monterey County,2010,0.1,minor_disruption,neutral,0.0,0.0,0.0,0.0,1,False,False,9,0,-0.3333333333333333,,,,,,,,
Monterey County,2019,0.3579999998427446,moderate_disruption,traditional,-0.6,0.2,0.8325546083838946,0.8,0,False,False,5,1,0.4,1.0,,,,,,,
Monterey County,2020,0.2741449427476001,moderate_disruption,traditional,-0.40476190476190477,0.5,0.398841985086228,0.21428571428571425,0,False,False,6,3,0.16666666666666666,0.5714285714285714,,,,,,,
Monterey County,2021,0.41917786244552036,moderate_disruption,progressive,0.3939393939393939,0.38461538461538464,0.6316673617666118,0.5314685314685315,1,False,False,13,5,0.6666666666666666,0.2727272727272727,,,,,,,
Napa County,2025,0.18333333333333335,minor_disruption,neutral,0.0,0.3333333333333333,0.0,0.0,1,False,False,3,1,0.6666666666666666,,,,,,,,
Orange County,2016,0.4509236397359423,moderate_disruption,progressive,1.3333333333333333,0.0,0.5727572187725666,1.3333333333333335,1,True,True,9,0,0.3333333333333333,-1.0,,,,,,,
Orange County,2017,0.31687200150975503,moderate_disruption,progressive,0.2909090909090909,0.16666666666666666,0.5022796973391518,0.42424242424242425,1,False,False,12,2,0.09090909090909091,-0.2,,,,,,,
Orange County,2018,0.3461283728672193,moderate_disruption,traditional,-0.6428571428571428,0.125,0.36373633530444593,1.0535714285714286,1,True,True,8,1,-0.5,0.14285714285714285,,,,,,,
Orange County,2019,0.17288377814843492,minor_disruption,progressive,0.3007518796992481,0.0,0.512938371931811,0.3264705882352941,0,False,True,17,0,0.14285714285714285,-0.15789473684210525,2018.0,Todd Spitzer,6.480000000000004,False,True,True,True
Orange County,2020,0.2331658335374912,minor_disruption,progressive,0.24475524475524477,0.35714285714285715,0.439251151464908,0.23142857142857143,0,True,False,14,5,0.15384615384615385,-0.09090909090909091,2018.0,Todd Spitzer,6.480000000000004,False,True,True,True
Orange County,2021,0.44860587334122193,moderate_disruption,progressive,0.7268518518518519,0.5454545454545454,0.44104586104006815,0.5601173020527859,1,False,False,11,6,0.875,0.14814814814814814,2018.0,Todd Spitzer,6.480000000000004,False,True,True,True
Orange County,2025,0.225,minor_disruption,neutral,0.0,0.5,0.0,0.0,1,False,False,6,3,1.75,,,,,,,,
Placer County,1997,0.15000000000000002,minor_disruption,neutral,0.0,0.2,0.0,0.0,1,False,False,5,1,-1.0,,,,,,,,
Placer County,2019,0.0,stable,neutral,0.0,0.0,0.0,0.0,0,False,False,3,0,-0.3333333333333333,,,,,,,,
Placer County,2020,0.413537952290148,moderate_disruption,progressive,0.20833333333333331,0.5,0.48997761508809023,0.8333333333333333,1,False,False,8,4,-0.125,-0.3333333333333333,,,,,,,
Placer County,2021,0.39051024879184404,moderate_disruption,progressive,0.3246753246753247,0.42857142857142855,0.5503126041800515,0.3116883116883117,1,False,True,7,3,0.14285714285714285,-0.18181818181818182,,,,,,,
Placer County,2025,0.0,stable,neutral,0.0,0.0,0.0,0.0,0,False,False,5,0,-0.2,,,,,,,,
Riverside County,2020,0.45885424184541157,moderate_disruption,traditional,-1.0,0.3333333333333333,0.5641427850140873,0.6666666666666666,1,False,False,3,1,-1.0,0.0,,,,,,,
Riverside County,2022,0.42348937067778414,moderate_disruption,progressive,1.3333333333333333,0.14285714285714285,0.4645014016586945,0.7142857142857143,1,False,False,7,1,1.0,-0.3333333333333333,,,,,,,
Riverside County,2025,0.25,moderate_disruption,neutral,0.0,1.0,0.0,0.0,0,False,False,4,4,0.0,,,,,,,,
Sacramento County,2018,0.2875,moderate_disruption,neutral,0.0,0.75,0.0,0.0,1,False,False,4,3,1.75,,,,,,,,
Sacramento County,2019,0.36882775541206925,moderate_disruption,traditional,-0.95,0.0,0.5237923885664448,0.7999999999999999,1,False,False,5,0,0.8,1.75,,,,,,,
Sacramento County,2021,0.26920235519439756,moderate_disruption,neutral,-0.04761904761904767,0.6666666666666666,0.22860551250718603,0.7142857142857143,0,False,True,3,2,0.6666666666666666,0.7142857142857143,,,,,,,
Sacramento County,2023,0.3388804086491497,moderate_disruption,neutral,0.0,0.5,0.3241984658732624,0.6000000000000001,1,False,False,4,2,1.0,1.0,,,,,,,
Sacramento County,2025,0.4224999998399908,moderate_disruption,progressive,1.0,0.25,0.8325546083724314,1.0,0,False,False,4,1,2.0,1.0,,,,,,,
San Benito County,2022,0.2825,moderate_disruption,traditional,-0.75,0.25,0.0,0.75,1,False,False,4,1,1.25,2.0,,,,,,,
San Bernardino County,2020,0.26666666666666666,moderate_disruption,neutral,0.0,0.6666666666666666,0.0,0.0,1,False,False,3,2,0.3333333333333333,,,,,,,,
San Bernardino County,2021,0.30338099098492716,moderate_disruption,progressive,0.3333333333333333,0.5714285714285714,0.43431614841467664,0.38095238095238093,0,False,False,7,4,0.6666666666666666,0.3333333333333333,,,,,,,
San Diego County,2017,0.3399999998408405,moderate_disruption,progressive,0.25,0.0,0.8325546083759683,0.25,1,False,False,4,0,0.25,0.0,,,,,,,
San Diego County,2020,0.4087608740818611,moderate_disruption,progressive,0.5,0.3333333333333333,0.5429402509787267,0.75,1,False,False,3,1,1.0,0.5,,,,,,,
San Diego County,2021,0.5859999996839692,significant_disruption,progressive,1.0,1.0,0.8325546077229485,0.6000000000000001,0,False,False,3,3,2.0,1.0,,,,,,,
San Diego County,2025,0.2,minor_disruption,neutral,0.0,0.4,0.0,0.0,1,False,False,5,2,0.6,,2022.0,Summer Stephan,100.0,False,False,False,False
San Francisco County,2016,0.6633333331729482,significant_disruption,progressive,3.0,0.3333333333333333,0.8325546083708665,1.3333333333333333,0,False,False,3,1,1.0,-2.0,2015.0,George Gascon,98.24,False,False,False,False
San Francisco County,2020,0.5718320242103743,significant_disruption,progressive,1.4848484848484849,0.5454545454545454,0.6875458983825384,0.36363636363636365,1,False,False,11,6,0.8181818181818182,-0.6666666666666666,2019.0,Chesa Boudin,4.630000000000003,True,True,True,True
San Francisco County,2021,0.3576662530479708,moderate_disruption,progressive,0.5934065934065935,0.5,0.5870255188359575,0.5384615384615384,0,False,False,8,4,1.2857142857142858,0.6923076923076923,2019.0,Chesa Boudin,4.630000000000003,True,True,True,True
San Francisco County,2022,0.24527361542415815,minor_disruption,traditional,-0.75,0.0,0.5747253058763365,0.5368421052631578,0,False,False,5,0,0.25,1.0,2019.0,Chesa Boudin,4.630000000000003,True,True,True,True
San Francisco County,2025,0.1,minor_disruption,neutral,0.0,0.0,0.0,0.0,1,False,False,4,0,-0.75,,2024.0,Brooke Jennings,31.800000000000004,False,False,False,False
