shock_id,shock_date,document_filename,document_date,document_county,days_from_shock
ab_1950_probation_reform,2021-01-01,2020.08.23_San Diego County_BHC Diversion and BHC Probation-Program Summary.pdf,2020-08-23,San Diego County,-131
ab_1950_probation_reform,2021-01-01,2020.09.08_Los Angeles County_Parole Periods and Prison Closures (with CDCR Demographics Data).pdf,2020-09-08,Los Angeles County,-115
ab_1950_probation_reform,2021-01-01,2021.03_Napa County_Memo re AB 1950 and Humphreys.pdf,2021-01-01,Napa County,0
ab_1950_probation_reform,2021-01-01,2021.02.01_Alameda County_Probation Retroactivty and the Williamson Rule.pdf,2021-02-01,Alameda County,31
ab_1950_probation_reform,2021-01-01,2021.02.01_Alameda County_Williamson and Probation Retroactivity.mp4,2021-02-01,Alameda County,31
ab_1950_probation_reform,2021-01-01,2021.03.21_LA County_AB 1950-New Limits on Probation Terms.pdf,2021-03-21,Los Angeles County,79
ab_1950_probation_reform,2021-01-01,2021.06.23_Ventura County_Handling Lifer Letters & Parole Hearings (MCLE Rec. of Att.).pdf,2021-06-23,Ventura County,173
ab_1950_probation_reform,2021-01-01,2021.12.06_Sutter County_Email re Judge Couzens Memo on Release of Probationers.msg,2021-12-06,Sutter County,339
ab_1950_probation_reform,2021-01-01,2021.12.07_Sutter County_ Email re Judge Couzens Prehearing Release of Probationers and 2022 Sentencing Law Changes.msg,2021-12-07,Sutter County,340
ab_1950_probation_reform,2021-01-01,2021.12.17_Inyo County_Board of Parole Hearings Letter.pdf,2021-12-17,Inyo County,350
ab_1950_probation_reform,2021-01-01,2022_Merced County_Exhibit C 2022 Parole Hearings.pdf,2022-01-01,Merced County,365
ab_3234_misdemeanor_diversion,2021-01-01,2020.01.09_San Luis Obispo County_Agenda Mental Health Diversion.pdf,2020-01-09,San Luis Obispo County,-358
ab_3234_misdemeanor_diversion,2021-01-01,2020.01.09_San Luis Obispo County_MCLE Eval Mental Health Diversion.pdf,2020-01-09,San Luis Obispo County,-358
ab_3234_misdemeanor_diversion,2021-01-01,2020.01.09_San Luis Obispo County_MCLE Recd of Attendance Mental Health Diversion.pdf,2020-01-09,San Luis Obispo County,-358
ab_3234_misdemeanor_diversion,2021-01-01,2020.01.09_San Luis Obispo County_Presenter Bios MH Diversion.pdf,2020-01-09,San Luis Obispo County,-358
ab_3234_misdemeanor_diversion,2021-01-01,2020.01.31_Fresno County_Proposed Fresno DA Misdemeanor Diversion Fee Assessment Determination Procedures.pdf,2020-01-31,Fresno County,-336
ab_3234_misdemeanor_diversion,2021-01-01,2020.03.09_San Francisco County_Primary Caregiver Diversion.pdf,2020-03-09,San Francisco County,-298
ab_3234_misdemeanor_diversion,2021-01-01,2020.07.09_Santa Barbara County_Misdo Diversion Eligibility Criteria with MEC and SB comments.doc,2020-07-09,Santa Barbara County,-176
ab_3234_misdemeanor_diversion,2021-01-01,2020.07.28_Napa County_Internal Email re Pre-filing Diversion.pdf,2020-07-28,Napa County,-157
ab_3234_misdemeanor_diversion,2021-01-01,2020.08.23_San Diego County_BHC Diversion and BHC Probation-Program Summary.pdf,2020-08-23,San Diego County,-131
ab_3234_misdemeanor_diversion,2021-01-01,2020.11.12_LA County_LPM Ch. 6 Alternatives to Charging.pdf,2020-11-12,Los Angeles County,-50
ab_3234_misdemeanor_diversion,2021-01-01,2020.12.31_Fresno County_AB 3234 Going Forward.pdf,2020-12-31,Fresno County,-1
ab_3234_misdemeanor_diversion,2021-01-01,2021_San Diego County_Juvenile Diversion Initiative Info.pdf,2021-01-01,San Diego County,0
ab_3234_misdemeanor_diversion,2021-01-01,Misdemeanor Sentencing and Diversion Guidelines (color) with Key.pdf,2021-01-01,San Luis Obispo County,0
ab_3234_misdemeanor_diversion,2021-01-01,2021.01.01_Santa Clara County_Misdemeanor Diversion Guidelines.pdf,2021-01-01,Santa Clara County,0
ab_3234_misdemeanor_diversion,2021-01-01,2021.01.04_Santa Clara County_Email RE Misdemeanor Diversion.pdf,2021-01-04,Santa Clara County,3
ab_3234_misdemeanor_diversion,2021-01-01,2021.01.04_Santa Clara County_Misdemeanor Diversion.pdf,2021-01-04,Santa Clara County,3
ab_3234_misdemeanor_diversion,2021-01-01,2021.01.08_Marin County_Behavioral Health Diversion Implementation Plan - Pilot.pdf,2021-01-08,Marin County,7
ab_3234_misdemeanor_diversion,2021-01-01,2021.01.29_San Luis Obispo County_Court Misdemeanor Diversion Guidelines.pdf,2021-01-29,San Luis Obispo County,28
ab_3234_misdemeanor_diversion,2021-01-01,2021.01.29_San Luis Obispo County_Court Misdemeanor Diversion Protocol.pdf,2021-01-29,San Luis Obispo County,28
ab_3234_misdemeanor_diversion,2021-01-01,2021.01.29_San Luis Obispo County_Misdemeanor Diversion Agreement.pdf,2021-01-29,San Luis Obispo County,28
ab_3234_misdemeanor_diversion,2021-01-01,2021.02.01_San Luis Obispo County_Email re Restitution in Court Misd. Diversion cases.pdf,2021-02-01,San Luis Obispo County,31
ab_3234_misdemeanor_diversion,2021-01-01,2021.02.04_Kern County_Misdemeanor Diversion Program Pamphlet.pdf,2021-02-04,Kern County,34
ab_3234_misdemeanor_diversion,2021-01-01,2021.04.05_Santa Clara County_Letter RE Misdemeanor Diversion Services.pdf,2021-04-05,Santa Clara County,94
ab_3234_misdemeanor_diversion,2021-01-01,2021.05.03_Fresno County_Mental Health Diversion.pdf,2021-05-03,Fresno County,122
ab_3234_misdemeanor_diversion,2021-01-01,2021.05.05_Santa Clara County_Update from J. Delgado on Court Diversion _ Restitution .pdf,2021-05-05,Santa Clara County,124
ab_3234_misdemeanor_diversion,2021-01-01,2021.05.20_San Diego County_DA Statement RE Juvenile Diversion Program.pdf,2021-05-20,San Diego County,139
ab_3234_misdemeanor_diversion,2021-01-01,2021.06.24_LA County_Thursday Seminar-Alternative Sentencing Flyer.pdf,2021-06-24,Los Angeles County,174
ab_3234_misdemeanor_diversion,2021-01-01,Yolo County_Diversion Policy v3.docx,2021-07-27,Yolo County,207
ab_3234_misdemeanor_diversion,2021-01-01,Yolo County_Diversion Policy v3.pdf,2021-07-28,Yolo County,208
ab_3234_misdemeanor_diversion,2021-01-01,Yolo County_Diversion-eligibility-Final.pdf,2021-07-28,Yolo County,208
ab_3234_misdemeanor_diversion,2021-01-01,Shasta County_DA Pilot Drug Diversion Program.pdf,2021-08-16,Shasta County,227
ab_3234_misdemeanor_diversion,2021-01-01,Sacramento County_AB 79 ALTA Diversion Summary.pdf,2021-08-17,Sacramento County,228
ab_3234_misdemeanor_diversion,2021-01-01,Tulare County_DEJ FORM (Pre-Trial Diversion-Drug Court).docx,2021-08-17,Tulare County,228
ab_3234_misdemeanor_diversion,2021-01-01,Napa County_Early Diversion Policy.pdf,2021-08-21,Napa County,232
