shock_id,date,end_date,level,county,policy_name,policy_type,description,enforcement_channel,behavioral_channel,severity,source,notes,shock_year,disruption_county,disruption_year,disruption_score,disruption_classification,disruption_direction
gascon_sf_takes_office,2011-01-09,,county,San Francisco County,George Gascón Appointed SF DA,da_directive,"Appointed by Mayor Newsom after Kamala Harris became AG; first police chief to become DA; implemented cash bail reform, quality-of-life crime declination, marijuana conviction expungement",charging,quality_of_life_enforcement,significant,"SF Mayor appointment, Jan 9, 2011",,2011,San Francisco County,2011,,no_data,
ab_109_realignment,2011-10-01,,statewide,All,AB 109 (Public Safety Realignment),legislation,"Transferred incarceration and supervision of non-violent, non-serious, non-sex-offense felons from state prison to county jails and probation; reduced state prison population by ~28,000 in first year",incarceration,public_safety_perception,major,Cal. Penal Code § 1170(h); AB 109 (2011),,2011,All,2011,,no_data,
prop_36_three_strikes_reform,2012-11-07,,statewide,All,Proposition 36 (Three Strikes Reform),proposition,"Required third strike to be serious or violent felony; allowed ~2,800 inmates serving life for non-serious third strikes to petition for resentencing",sentencing,public_safety_perception,significant,Cal. Penal Code § 1170.126; Prop 36 (2012),,2012,Los Angeles County,2012,0.1888542418454116,minor_disruption,progressive
prop_47,2014-11-05,,statewide,All,Proposition 47 (Safe Neighborhoods and Schools Act),proposition,"Reclassified drug possession and property crimes under $950 (shoplifting, theft, forgery, bad checks, receiving stolen property) from felonies to misdemeanors; ~1M eligible for reclassification",charging,retail_crime_perception,major,"Cal. Penal Code §§ 459.5, 473, 476a, 490.2, 496; Prop 47 (2014)",,2014,All,2014,,no_data,
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018,2016,Los Angeles County,2016,0.5442444569193301,significant_disruption,progressive
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018,2016,Alameda County,2016,0.2127275010390114,minor_disruption,traditional
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018,2016,Contra Costa County,2016,0.3637608743225531,moderate_disruption,traditional
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018,2016,Marin County,2016,0.3337608743225531,moderate_disruption,traditional
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018,2016,Orange County,2016,0.4509236397359423,moderate_disruption,progressive
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018,2016,San Francisco County,2016,0.6633333331729482,significant_disruption,progressive
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018,2016,San Luis Obispo County,2016,0.1909032604498011,minor_disruption,traditional
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018,2016,Ventura County,2016,0.1111111111111111,minor_disruption,neutral
becton_contra_costa_takes_office,2017-09-18,,county,Contra Costa County,Diana Becton Sworn In as Contra Costa DA,da_directive,"First woman and first Black DA in county history; stopped prosecuting low-level drug crimes, established drug diversion, abolished juvenile justice fees, partnered with Vera Institute on racial bias evaluation",charging,quality_of_life_enforcement,significant,"Contra Costa Board of Supervisors appointment, Sep 12/18, 2017",,2017,Contra Costa County,2017,,no_data,
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,Los Angeles County,2018,0.3257295382908133,moderate_disruption,traditional
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,Alameda County,2018,0.466947732621095,moderate_disruption,progressive
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,Orange County,2018,0.3461283728672193,moderate_disruption,traditional
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,Sacramento County,2018,0.2875,moderate_disruption,neutral
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,San Luis Obispo County,2018,0.2760082155965601,moderate_disruption,neutral
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,San Mateo County,2018,0.4718996974643357,moderate_disruption,progressive
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,Stanislaus County,2018,0.5333333333333333,significant_disruption,progressive
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,Tulare County,2018,0.389999999676305,moderate_disruption,traditional
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,Ventura County,2018,0.1761377929922776,minor_disruption,progressive
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),,2018,Yolo County,2018,0.2967197745424806,moderate_disruption,traditional
sb_620_firearm_enhancement_discretion,2018-01-01,,statewide,All,SB 620 (Firearm Enhancement Discretion),legislation,"Gave judges discretion to strike previously mandatory firearm enhancements under PC 12022.5 and 12022.53, which added 3-25 years to sentences",enhancements,public_safety_perception,significant,"Cal. Penal Code §§ 12022.5, 12022.53; SB 620 (2017)",,2018,Los Angeles County,2018,0.3257295382908133,moderate_disruption,traditional
