county_vera,year,n_docs,mean_ideology,pct_progressive,pct_traditional,pct_ext_lenient,pct_int_lenient,county_name,jail_pop,jail_pop_rate,jail_pretrial,jail_pretrial_rate,jail_adm,jail_adm_rate,jail_sentenced,black_jail_rate,white_jail_rate,total_pop,jail_capacity,bw_disparity,jail_utilisation,pretrial_share
Alameda County,2015.0,9,-0.2222222222222222,22.22222222222222,33.33333333333333,22.22222222222222,22.22222222222222,Alameda County,2716.25,237.61,2268.185,198.4125,47628.125,4166.345,448.065,955.995,111.9925,1642990.0,4759.75,8.536241266156216,57.06707285046484,83.50427979751495
Alameda County,2016.0,10,-1.125,0.0,50.0,10.0,20.0,Alameda County,2485.75,215.3125,2073.1925,179.5775,41207.125,3569.3,412.5575,871.8199999999999,107.2625,1661118.0,4723.375,8.12791049994173,52.62656469156058,83.40309765664287
Alameda County,2017.0,7,-0.5714285714285714,0.0,42.857142857142854,0.0,14.285714285714285,Alameda County,2546.0,219.665,2092.2325,180.515,44743.6875,3860.4275,453.76750000000004,916.0575,115.3075,1671789.0,4716.0,7.94447455716237,53.98642917726887,82.17723880597015
Alameda County,2018.0,10,0.0,20.0,10.0,60.0,40.0,Alameda County,2570.5,221.0625,2158.005,185.59,42155.9375,3625.44,412.495,932.01,116.945,1680245.0,4485.9375,7.969643849672924,57.30128874956462,83.95273293133631
Alameda County,2019.0,6,0.0,0.0,0.0,50.0,50.0,Alameda County,2528.25,217.465,2289.88,196.9625,37324.1875,3210.425,238.37,939.355,104.93,1683755.0,3565.6875,8.95220623272658,70.90497975495609,90.57173934539702
Alameda County,2020.0,6,0.6,33.33333333333333,16.666666666666664,50.0,50.0,Alameda County,2035.9375,175.97,1912.77,165.325,30949.25,2674.995,123.16749999999999,727.675,99.4675,1680380.0,3489.0,7.315706135169779,58.3530381198051,93.9503300076746
Alameda County,2021.0,5,0.4,60.0,20.0,80.0,20.0,Alameda County,2139.25,190.3625,1944.73,173.05,24318.75,2163.9925000000003,194.51999999999998,763.8199999999999,115.17,1643837.0,3488.25,6.632109056177823,61.32731312262596,90.90709360757275
Amador County,2022.0,3,1.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,Amador County,92.75,376.6675,,,1322.0,5368.75,92.75,,,41412.0,76.0,,122.03947368421053,
Contra Costa County,2015.0,2,0.5,50.0,50.0,50.0,50.0,Contra Costa County,1420.0,189.14999999999998,1111.7325,148.0925,25960.5,3458.0725,308.2675,619.3075,91.655,1130639.0,1979.0,6.7569417925917845,71.75341081354219,78.29102112676057
Contra Costa County,2016.0,3,-0.3333333333333333,0.0,33.33333333333333,0.0,0.0,Contra Costa County,1430.0,188.415,1170.055,154.1625,24450.25,3221.535,259.945,628.53,99.185,1145028.0,1979.0,6.336946110803044,72.25871652349672,81.82202797202798
Contra Costa County,2018.0,2,0.0,0.0,0.0,0.0,0.0,Contra Costa County,1359.25,177.4425,1081.6625,141.20749999999998,23679.6875,3091.2574999999997,277.5875,601.61,118.67,1161098.0,1971.125,5.069604786382405,68.9580823133997,79.57789221997425
Contra Costa County,2019.0,5,0.0,0.0,0.0,0.0,0.0,Contra Costa County,1204.0,157.2675,1025.72,133.98000000000002,23479.5,3066.8875,178.28,582.0425,107.99,1164410.0,1947.5,5.389781461246412,61.822849807445444,85.19269102990033
Contra Costa County,2020.0,20,0.4444444444444444,65.0,25.0,75.0,75.0,Contra Costa County,858.0625,112.27,767.74,100.4525,17060.3125,2232.2525,90.32249999999999,457.1475,70.3175,1165986.0,1980.5,6.501191026415899,43.32554910376168,89.47366887610168
Contra Costa County,2021.0,47,0.4666666666666667,36.17021276595745,14.893617021276595,29.78723404255319,36.17021276595745,Contra Costa County,760.0,99.845,644.0,84.6075,12072.3125,1585.99,116.0,413.6,57.8225,1163298.0,1967.75,7.152924899476848,38.62279252953881,84.73684210526315
